college_code,branch_code,intake_capacity,fees_per_year,duration_years
06644,0664429310,30,,
04190,0419037010,30,,
05382,0538292110,60,,
04133,0413319110,60,,
06293,0629361210,30,,
03201,0320124510,120,,
02015,0201537210,60,,
03190,0319024510,180,,
06756,0675624210,120,,
03503,0350324610,60,,
05382,0538226310,90,,
03146,0314661210,60,,
05124,0512424610,60,,
06622,0662292110,120,,
03036,0303653410,16,,
06273,0627324510,720,,
06644,0664491110,60,,
01182,0118229310,60,,
02282,0228290010,60,,
06298,0629884410,180,,
06625,0662561210,30,,
03351,0335161210,60,,
06767,0676761210,30,,
03036,0303651210,16,,
02138,0213861210,60,,
06643,0664324210,120,,
03218,0321891210,60,,
06766,0676661210,60,,
06288,0628891110,60,,
06303,0630361210,60,,
02146,0214629710,30,,
04192,0419219110,60,,
01123,0112324210,60,,
04177,0417799710,60,,
06269,0626992610,60,,
06632,0663261210,60,,
02113,0211337210,120,,
06308,0630837210,60,,
05171,0517137210,60,,
06283,0628319110,60,,
06795,0679529310,30,,
06187,0618724610,60,,
02533,0253337810,60,,
02008,0200819110,60,,
03216,0321650710,60,,
06320,0632024510,180,,
06634,0663419110,30,,
06273,0627346410,180,,
03033,0303390510,51,,
06304,0630419110,30,,
03206,0320661210,60,,
03209,0320937210,60,,
06203,0620326610,60,,
05331,0533199510,60,,
06640,0664029310,60,,
04139,0413992510,120,,
06275,0627537210,60,,
06644,0664490010,60,,
03467,0346719110,60,,
06649,0664937210,60,,
06315,0631592110,30,,
06640,0664019110,60,,
02020,0202061210,60,,
06277,0627726310,60,,
05409,0540929310,60,,
05172,0517224610,120,,
05408,0540837210,60,,
04145,0414561210,60,,
03218,0321819110,60,,
02254,0225419110,60,,
03439,0343991210,60,,
03277,0327793410,30,,
03135,0313524510,120,,
06799,0679924210,60,,
04116,0411661210,60,,
05597,0559737210,60,,
16354,1635424510,120,,
03445,0344524510,60,,
06732,0673299510,180,,
05401,0540161210,23,,
03216,0321637210,60,,
05139,0513991610,60,,
05408,0540829310,30,,
01107,0110791110,180,,
04177,0417729310,60,,
04123,0412300210,60,,
03475,0347591210,120,,
06311,0631161210,120,,
06754,0675424510,180,,
06794,0679424610,60,,
01127,0112761210,60,,
03220,0322037210,30,,
06319,0631961210,30,,
03220,0322092110,30,,
01123,0112356810,60,,
01126,0112661210,60,,
03222,0322291110,120,,
01005,0100552410,15,,
03185,0318524610,180,,
06273,0627399510,360,,
04197,0419761210,30,,
02114,0211461210,120,,
06834,0683424510,180,,
04196,0419692110,60,,
06839,0683919110,60,,
02134,0213484410,60,,
02130,0213019110,60,,
03224,0322419110,30,,
