college_code,name
03475,"A. P. Shah Institute of Technology, Thane"
01119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY
06714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur"
02146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad"
02136,"Aditya Engineering College, Beed"
05380,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
03197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
05382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti"
06732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune"
06183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
06325,"Alard Charitable Trust's Alard College of Engineering and Management, Pune"
03218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
06278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
06282,"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune"
04135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"
02771,Amolak College of Engineering Kada
05184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar"
05162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner"
06794,"Anantrao Pawar College of Engineering & Research, Pune"
04172,"Anjuman College of Engineering & Technology, Nagpur"
03439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai"
04116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur"
06283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
05395,Ashok Institute of Engineering & Technology
03203,"Atharva College of Engineering, Malad(West), Mumbai"
16355,Audyogik Shikshan Mandal's Nextgen Technical Campus
02250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad"
03436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
06715,Babasaheb Phadtare Engineering & Technology Kalamb-Walchandnagar Tal Indapur Dist Pune
04649,"Bajaj Institute of Technology, Wardha"
